Date,Open,High,Low,Close,Volume,Adj Close
2010-01-25,39.97,41.57,39.12,41.22,5301000,38.05
2010-01-18,41.75,42.93,40.13,40.47,4340200,37.35
2010-01-11,44.28,44.44,41.38,41.56,4399300,38.36
2010-01-04,43.46,44.85,43.35,44.02,2939200,40.63
2009-12-28,44.07,44.14,43.37,43.46,1562400,40.11
2009-12-21,43.57,44.06,42.98,43.87,2299700,40.49
2009-12-14,43.60,43.88,42.29,42.99,5111000,39.68
2009-12-07,42.00,43.43,41.01,43.04,4462000,39.72
2009-11-30,41.06,42.50,39.80,41.89,4141200,38.66
2009-11-23,40.26,41.95,39.11,40.59,3923200,37.46
2009-11-16,40.01,41.20,39.50,39.87,3907500,36.80
2009-11-09,38.05,39.98,37.70,39.76,3340600,36.70
2009-11-02,36.40,38.01,35.76,37.55,4581900,34.66
2009-10-26,38.75,39.68,35.00,36.50,5077200,33.69
2009-10-19,39.45,40.98,38.89,39.16,4055500,36.14
2009-10-12,37.71,40.61,37.61,39.40,5869300,36.36
2009-10-05,34.32,37.76,33.94,37.49,4538600,34.60
2009-09-28,35.39,36.59,33.76,34.15,4386400,31.52
2009-09-21,36.96,37.31,34.95,35.26,3361600,32.54
2009-09-14,35.55,37.99,35.32,36.98,4737400,34.13
2009-09-07,35.27,36.77,35.20,36.18,3330300,33.39
2009-08-31,36.65,37.47,34.28,34.96,4618300,32.27
2009-08-24,36.70,38.41,35.94,36.96,4209300,34.11
2009-08-17,34.17,36.30,33.61,36.20,3618600,33.41
2009-08-10,35.07,36.39,33.73,34.77,3675900,32.09
2009-08-03,35.00,36.49,34.41,35.25,3906400,32.53
2009-07-27,34.70,35.45,32.55,35.16,6480000,32.45
2009-07-20,31.80,34.85,31.72,34.29,4623900,31.65
2009-07-13,27.66,32.08,27.45,31.71,4913600,29.27
2009-07-06,27.95,28.39,27.40,27.66,3811800,25.53
2009-06-29,28.02,29.62,27.33,27.66,3521300,25.53
2009-06-22,29.03,29.11,27.40,28.02,4612900,25.86
2009-06-15,31.22,31.38,28.33,29.03,6784400,26.79
2009-06-08,31.18,32.10,30.43,31.59,3266100,29.15
2009-06-01,30.53,32.25,30.37,31.34,4647100,28.92
2009-05-25,30.04,30.77,28.88,29.75,3938200,27.46
2009-05-18,27.50,30.96,27.27,29.93,4219700,27.62
2009-05-11,29.45,29.89,27.08,27.90,5814300,25.75
